[2017.03.12_08.13.05]	start :12/03/2017 08:13:05
[2017.03.12_08.19.57]	start :12/03/2017 08:19:57
[2017.03.12_08.20.30]	start :12/03/2017 08:20:30
[2017.03.12_09.51.06]	start :12/03/2017 09:51:06
[2017.03.12_09.53.08]	start :12/03/2017 09:53:08
[2017.03.12_09.53.19]	end :12/03/2017 09:53:19
[2017.03.12_09.53.26]	start :12/03/2017 09:53:26
[2017.03.12_09.57.01]	start :12/03/2017 09:57:01
[2017.03.12_11.20.31]	start :12/03/2017 11:20:31
[2017.03.12_11.20.56]	Error: This case has already been resolved. Close and reopen the case record to see the updates.. Error in StartInterface 
[2017.03.12_11.20.59]	Error: This case has already been resolved. Close and reopen the case record to see the updates.. Error in StartInterface 
[2017.03.12_11.21.00]	Error: This case has already been resolved. Close and reopen the case record to see the updates.. Error in StartInterface 
[2017.03.12_11.21.02]	Error: This case has already been resolved. Close and reopen the case record to see the updates.. Error in StartInterface 
[2017.03.12_11.21.03]	Error: This case has already been resolved. Close and reopen the case record to see the updates.. Error in StartInterface 
[2017.03.12_11.21.04]	end :12/03/2017 11:21:04
[2017.03.12_15.14.57]	start :12/03/2017 15:14:57
[2017.03.12_15.15.36]	Error: This case has already been resolved. Close and reopen the case record to see the updates.. Error in StartInterface 
[2017.03.12_15.16.04]	Error: This case has already been resolved. Close and reopen the case record to see the updates.. Error in StartInterface 
[2017.03.12_15.16.21]	Error: This case has already been resolved. Close and reopen the case record to see the updates.. Error in StartInterface 
[2017.03.12_15.16.33]	Error: This case has already been resolved. Close and reopen the case record to see the updates.. Error in StartInterface 
[2017.03.12_15.16.47]	Error: This case has already been resolved. Close and reopen the case record to see the updates.. Error in StartInterface 
